Id,Type
15005330,onstreetBus
64310190,onstreetBus
20630300,onstreetBus
56230100,onstreetBus
79640040,onstreetBus
61191390,onstreetBus
13121110,onstreetBus
21900500,onstreetBus
62771020,onstreetBus
46612100,onstreetBus
29130700,onstreetBus
62440480,onstreetBus
88880210,onstreetBus
20370700,onstreetBus
31001221,combiTramBus
36170060,onstreetBus
51740130,onstreetBus
64482110,onstreetBus
64621070,onstreetBus
64621280,onstreetBus
79310040,onstreetBus
79450090,onstreetBus
79450150,onstreetBus
79660030,onstreetBus
79740030,onstreetBus
79740130,onstreetBus
39012001,onstreetBus
39014001,onstreetBus
39015001,onstreetBus
80000370,onstreetBus
80000640,onstreetBus
80000920,onstreetBus
80001300,onstreetBus
80001400,onstreetBus
80001440,onstreetBus
80001520,onstreetBus
80001560,onstreetBus
80001590,onstreetBus
80006070,onstreetBus
40160130,onstreetBus
10001080,onstreetBus
10001170,onstreetBus
10001350,onstreetBus
10001390,onstreetBus
10001410,onstreetBus
10002850,onstreetBus
10001610,busStation
10002910,onstreetBus
10002930,onstreetBus
10003010,onstreetBus
10003090,onstreetBus
10003150,onstreetBus
10003230,onstreetBus
10003270,onstreetBus
10003290,onstreetBus
10004030,onstreetBus
10004110,onstreetBus
10004130,onstreetBus
10004330,onstreetBus
10004350,onstreetBus
10005030,onstreetBus
10005150,onstreetBus
10005170,onstreetBus
10005270,onstreetBus
10005310,onstreetBus
10005610,onstreetBus
10005710,onstreetBus
10005730,onstreetBus
10006010,onstreetBus
10006190,onstreetBus
10006230,onstreetBus
10006490,onstreetBus
10006540,onstreetBus
10006570,onstreetBus
10006670,onstreetBus
10006710,onstreetBus
10006870,onstreetBus
10006890,onstreetBus
10007210,onstreetBus
10007570,onstreetBus
10008030,onstreetBus
10008550,onstreetBus
10008610,onstreetBus
10008630,onstreetBus
10009210,onstreetBus
10009230,onstreetBus
10009290,onstreetBus
10009320,onstreetBus
10009610,onstreetBus
10009630,onstreetBus
10103410,onstreetBus
10103510,onstreetBus
10103530,onstreetBus
10103630,onstreetBus
10105110,onstreetBus
10105130,onstreetBus
10108000,onstreetBus
10108810,onstreetBus
10116110,onstreetBus
10124490,onstreetBus
10124530,onstreetBus
10125930,onstreetBus
10126010,onstreetBus
10128310,onstreetBus
10155550,onstreetBus
10155750,onstreetBus
10255010,onstreetBus
10255110,onstreetBus
10274310,onstreetBus
10283110,onstreetBus
10283310,onstreetBus
10292030,onstreetBus
10292110,onstreetBus
10292810,onstreetBus
10293110,onstreetBus
10293210,onstreetBus
10293410,onstreetBus
10301030,onstreetBus
10301070,onstreetBus
10301210,onstreetBus
10301310,onstreetBus
10302110,onstreetBus
10310410,onstreetBus
10310510,onstreetBus
10331210,onstreetBus
10341010,onstreetBus
10380810,onstreetBus
10391310,onstreetBus
10401810,onstreetBus
10401910,onstreetBus
10402010,onstreetBus
10402210,onstreetBus
10402310,onstreetBus
10432510,onstreetBus
10473410,onstreetBus
10474110,onstreetBus
10501210,onstreetBus
10502340,onstreetBus
10502610,onstreetBus
10502910,onstreetBus
10513210,onstreetBus
10513410,onstreetBus
10523910,onstreetBus
10533070,onstreetBus
10534210,onstreetBus
10534310,onstreetBus
10534410,onstreetBus
10561710,onstreetBus
10571910,onstreetBus
10572110,onstreetBus
10601060,onstreetBus
10601140,onstreetBus
10601200,onstreetBus
10601650,onstreetBus
10602330,onstreetBus
10602610,onstreetBus
10606810,onstreetBus
10606910,onstreetBus
10615010,onstreetBus
10615310,onstreetBus
10626610,onstreetBus
10644010,onstreetBus
10644410,onstreetBus
10644610,onstreetBus
10644810,onstreetBus
10644910,onstreetBus
10652010,onstreetBus
10655110,onstreetBus
10655310,onstreetBus
10655410,onstreetBus
10655710,onstreetBus
10663410,onstreetBus
10663680,onstreetBus
10682410,onstreetBus
10701110,onstreetBus
10701510,onstreetBus
10702010,onstreetBus
10702210,onstreetBus
10712410,onstreetBus
10712610,onstreetBus
10714510,onstreetBus
10722910,onstreetBus
10723110,onstreetBus
10723720,onstreetBus
10734110,onstreetBus
10744510,onstreetBus
10744710,onstreetBus
10744910,onstreetBus
10762310,onstreetBus
11215510,onstreetBus
11222110,onstreetBus
11222310,onstreetBus
11233510,onstreetBus
11243010,onstreetBus
11243110,onstreetBus
11251110,onstreetBus
12547210,onstreetBus
11251410,onstreetBus
11263410,onstreetBus
11313010,onstreetBus
11315320,onstreetBus
11315410,onstreetBus
11325010,onstreetBus
11344510,onstreetBus
11345110,onstreetBus
11345310,onstreetBus
11353610,onstreetBus
11353910,onstreetBus
11354210,onstreetBus
11363810,onstreetBus
11363830,onstreetBus
11380700,onstreetBus
11381610,onstreetBus
11382110,onstreetBus
11382310,onstreetBus
11422010,onstreetBus
11430100,onstreetBus
11433610,onstreetBus
11433710,onstreetBus
11440400,onstreetBus
11453410,onstreetBus
11462710,onstreetBus
12003930,onstreetBus
12004010,onstreetBus
12005110,onstreetBus
12005460,onstreetBus
12005620,onstreetBus
12005630,onstreetBus
12006510,onstreetBus
12006530,onstreetBus
12026610,onstreetBus
12035310,onstreetBus
12035610,onstreetBus
12044210,onstreetBus
12044410,onstreetBus
12063010,onstreetBus
12067410,onstreetBus
12070210,onstreetBus
12080230,onstreetBus
12083010,onstreetBus
12083110,onstreetBus
12101710,onstreetBus
12102010,onstreetBus
12102110,onstreetBus
12106210,onstreetBus
12108110,onstreetBus
12118310,onstreetBus
12121410,onstreetBus
12155910,onstreetBus
12166310,onstreetBus
12170050,onstreetBus
12178110,onstreetBus
12185210,onstreetBus
12185710,onstreetBus
12193110,onstreetBus
12196810,onstreetBus
12201110,onstreetBus
12204210,onstreetBus
12227810,onstreetBus
12230030,onstreetBus
12241910,onstreetBus
12243810,onstreetBus
12243930,onstreetBus
12244410,onstreetBus
12251510,onstreetBus
12252910,onstreetBus
12253210,onstreetBus
12254110,onstreetBus
12261310,onstreetBus
12261910,onstreetBus
12262010,onstreetBus
12262110,onstreetBus
12262310,onstreetBus
12547610,onstreetBus
12547910,onstreetBus
12549010,onstreetBus
12556710,onstreetBus
12558310,onstreetBus
12558610,onstreetBus
12558810,onstreetBus
12558840,onstreetBus
12574810,onstreetBus
12575210,onstreetBus
12584010,onstreetBus
12584410,onstreetBus
12601410,onstreetBus
12601530,onstreetBus
12602010,onstreetBus
12603010,onstreetBus
12607810,onstreetBus
12623310,onstreetBus
12627410,onstreetBus
12631210,onstreetBus
12631510,onstreetBus
12631710,onstreetBus
12632110,onstreetBus
12632910,onstreetBus
12633610,onstreetBus
12633810,onstreetBus
12634710,onstreetBus
12634810,onstreetBus
12635310,onstreetBus
12635410,onstreetBus
12635820,onstreetBus
12638110,onstreetBus
12638810,onstreetBus
12643310,onstreetBus
12644310,onstreetBus
12644510,onstreetBus
12650310,onstreetBus
12654110,onstreetBus
12682410,onstreetBus
12682510,onstreetBus
12685810,onstreetBus
12685910,onstreetBus
12686210,onstreetBus
12686610,onstreetBus
12700050,onstreetBus
12700090,onstreetBus
12700130,onstreetBus
12700310,onstreetBus
12701280,onstreetBus
12704810,onstreetBus
12704910,onstreetBus
12705210,onstreetBus
