VESTIGINGSNAAM,INTERNETADRES,TYPE,STRAATNAAM,POSTCODE,PLAATSNAAM
International Primary School GSV,www.g-s-v.nl,primary,Sweelincklaan 4,9722 JV,Groningen
International School Groningen,www.isgroningen.nl,secondary,Rijksstraatweg 24,9752 AE,Haren
Eerde International Boarding School,www.eerde.nl,"primary,secondary",Kasteellaan 1,7731 PJ,Ommen
International School Twente,www.istwente.org,primary,Johannes ter Horststraat 30,7513 ZH,Enschede
International School Twente,www.istwente.org,secondary,Tiemeister 20,7541 WG,Enschede
Rivers International School Arnhem,www.arnheminternationalschool.nl,"primary,secondary",Parnassusstraat 20,6846 RB,Arnhem
International Primary School Almere,www.ipsalmere.nl,primary,A. Roland Holststraat 58,1321 RX,Almere
International School Almere,www.internationalschoolalmere.nl,secondary,Heliumweg 61,1362 JA,Almere
International School Utrecht,www.isutrecht.nl,"primary,secondary",Van Bijnkershoeklaan 8,3527 XL,Utrecht
Violenschool International Primary School,www.ipshilversum.nl,primary,Rembtandtlaan 30,1213 BH,Hilversum
International School Hilversum,www.ishilversum.nl,"primary,secondary",Emmastraat 56,1213 AL,Hilversum
Florencius International School,www.florenciusinternationalschool.nl,primary,De Savornin Lohmanlaan 2,1181 XM,Amstelveen
International School Laren,www.islaren.nl,secondary,Langsakker 4,1251 GB,Laren
European School Bergen,www.esbergen.ey,"primary,secondary",Molenweidtje 5,1862 BC,Bergen
International School Haarlem,www.internationalschoolhaarlem.nl,"primary,secondary",Schreveliusstraat 27,2014 XP,Haarlem
Optimist International School,www.optimist-international-school.nl,primary,Waddenweg 87,2134 XL,Hoofddorp
Gifted Minds International School,www.giftedmindsinternationalschool.com,primary,Opaallaan 1190,2132 LN,Hoofddorp
Amstelland International School,www.amstelland-international-school.nl,primary,Asserring 93,1187 SM,Amstelveen
International School of Amsterdam,www.isa.nl,"primary,secondary",Sportlaan 45,1185 TB,Amstelveen
Amity International School,www.amityschool.nl,"primary,secondary",Amsterdamseweg 204,1182 HL,Amstelveen
British School of Amsterdam,www.britams.nl,early years school,Havenstraat 6,1075 PR,Amsterdam
British School of Amsterdam,www.britams.nl,infant school,Havenstraat 6,1075 PR,Amsterdam
British School of Amsterdam,www.britams.nl,junior & senior school,Havenstraat 6,1075 PR,Amsterdam
Winford Bilingual School,www.winford-bilingual.nl,primary,Jan Luijkenstraat 29,1071 CK,Amsterdam
International French School Amsterdam,www.internationalfrenchschool.com,"primary,secondary",Anthonie van Dijckstraat 1,1077 ME,Amsterdam
Annexe du Lycee francais Vincent van Gogh,www.lfvvg.com,primary,Rustenburgerstraat 246,1073 GK,Amsterdam
The Japanese School of Amsterdam,www.jsa.nl,"primary,secondary",Karel Klinkenbergstraat 137,1061 AL,Amsterdam
Amsterdam International Community School Main Campus,www.aics.espritscholen.nl,"primary,secondary",Prinses Irenestraat 59,1077 WV,Amsterdam
Amsterdam International Community School South East Campus,www.aics.espritscholen.nl,"primary,secondary",Darlingstraat 2,1102 MX,Amsterdam
Amsterdam International Community School Satellite Campus,www.aics.espritscholen.nl,primary,Arent Janszoon Ernststraat 130,1082 LP,Amsterdam
Elckerlyc International School,www.elckerlyc-international.nl,primary,Klimopzoom 41,2353 RE,Leiderdorp
Winford Bilingual School,www.winford-bilingual.nl,primary,Rijnsburgerweg 91-93,2334 BJ,Leiden
Rijnlands Lyceum Oegstgeest,www.isrlo.nl,secondary,Apollolaan 1a,2341 BA,Oegstgeest
International School Wassenaar,www.internationalschoolwassenaar.nl,secondary,Backershagenlaan 5,2243 AB,Wassenaar
American School of The Hague,www.ash.nl,grade 2 - 12,Rijksstraatweg 200,2241 BX,Wassenaar
American School of The Hague,www.ash.nl,grade 1,Deijlerweg 153,2241 AE,Wassenaar
Lycee francais Vincent van Gogh,www.lyceevangogh.nl,"primary,secondary",Scheveningseweg 237,2584 AA,Den Haag
Deutsche Internationale Schule Den Haag,www.disdh.nl,"primary,secondary",Van Bleiswijkstraat 125,2582 LB,Den Haag
The British School in The Netherlands,www.britishschool.nl,secondary,Jan van Hooflaan 3,2252 BG,Voorschoten
The British School in The Netherlands,www.britishschool.nl,primary,Vlaskamp 19,2592 AA,Den Haag
The British School in The Netherlands,www.britishschool.nl,primary,Saffierhorst 119,2592 GK,Den Haag
The British School in The Netherlands,www.britishschool.nl,"primary,secondary",Vrouw Avenweg 640,2493 WZ,Den Haag
Lighthouse Special Education,www.lighthousese.nl,primary,Van Heutzstraat 12,2593 PJ,Den Haag
HSV International School Nassaulaan,www.hsvdenhaag.nl,primary,Nassaulaan 26,2514 JT,Den Haag
HSV International School KSS,www.hsvdenhaag.nl,primary,Komninging Sophiestraat 24A,2595 TG,Den Haag
HSV International School VHS,www.hsvdenhaag.nl,primary,Van Heutzstraat 12,2593 PJ,Den Haag
HSV International School VNS,www.hsvdenhaag.nl,primary,Van Nijenrodestraat 16,2597 RM,Den Haag
International Waldorf School The Hague,www.internationalwaldorfschool.nl,primary,2e Messstraat 31,2586 XA,Den Haag
The International School of The Hague,www.ishthehague.nl,"primary,secondary",Wijndaelerduin 1,2554 BX,Den Haag
European School The Hague,www.europeanschoolthehague.nl,primary,Houtrustweg 2,2566 HA,Den Haag
European School The Hague,www.europeanschoolthehague.nl,secondary,Oostduinlaan 50,2596 JP,Den Haag
International School Delft,www.isdelft.nl,primary,Jaffalaan 9,2628 BX,Delft
International School Delft,www.isdelft.nl,secondary,Colijnlaan 2,2613 VZ,Delft
Harbour IBSR International Department,www.harbouribsr.nl,primary,Graaf Florisstraat 56,3021 CJ,Rotterdam
Rotterdam International Secondary School,www.riss.wolfert.nl,secondary,Bentincklaan 294,3039 KK,Rotterdam
Nord Anglia International School of Rotterdam,www.aisr.nl,"primary,secondary",Verhulstlaan 21,3055 WJ,Rotterdam
The Japanese School of  Rotterdam,www.jsrotte.nl,"primary,secondary",Verhulstlaan 19,3055 WJ,Rotterdam
The International School of Breda,www.internationalschoolbreda.nl,"primary,secondary",Mozartlaan 35,4837 EH,Breda
The International School Eindhoven,www.isecampus.nl,"primary,secondary",Oirschotsedijk 14b,5602 BH,Eindhoven
Salto International School RISE,www.salto-internationalschool.nl,primary,Tafelbergplein 8,5642 GP,Eindhoven
Salto International School I-St@art,www.salto-internationalschool.nl,primary,Meerbos 16,5658 LA,Eindhoven
AFNORTH International School,www.afnorth-is.com,"primary,secondary",Ferdinand Bolstraat 1,6445 EE,Brunssum
United World College Maastricht,www.uwcmaastricht.nl,"primary,secondary",Discusworp 65,6225 XP,Maastricht
